komentar,komentar_bersih,setelah_preprocesing,setelah_normalisasi,setelah_normalisasi1
sebaiknya anggaran mbg di alihkan saja  dulu nya  pun tak ada bikin banyak pengeluaran negara aja,sebaiknya anggaran mbg di alihkan saja dulu nya pun tak ada bikin banyak pengeluaran negara aja,anggaran mbg alihkan nya bikin pengeluaran negara aja,anggar mbg alih nya bikin keluar negara aja,anggar mbg alih bikin negara
"saya kira mewakili rakyat , ternyata harga dirinya terjual untk kepentingan diri sendiri.",saya kira mewakili rakyat ternyata harga dirinya terjual untk kepentingan diri sendiri,mewakili rakyat harga terjual untk kepentingan,wakil rakyat harga jual untk penting,wakil rakyat harga jual untk
banyak rakyat jug gak kuat bayar angsuran bank,banyak rakyat jug gak kuat bayar angsuran bank,rakyat jug gak kuat bayar angsuran bank,rakyat jug gak kuat bayar angsur bank,rakyat jug gak kuat bayar angsur bank
malah makin sulit nyari duit lurrrrr,malah makin sulit nyari duit lurrrrr,sulit nyari duit lurrrrr,sulit nyari duit lurrrrr,sulit nyari duit lurrrrr
"omongan habisi dana negara,sll kapan hukum mati tuk koruptor?",omongan habisi dana negarasll kapan hukum mati tuk koruptor,omongan habisi dana negarasll hukum mati tuk koruptor,omong habis dana negarasll hukum mati tuk koruptor,omong habis dana negarasll hukum mati tuk koruptor
"kepada bapak2 komisi dpr, bapak itu bisa menjabat hanya karena atas nama rakyat, nga ada pengorbanan2 yg terlalu setengah mati, jadi saran saya rakyat itu butuh bukti pak dari kinerjamu, bukan hanya pintar debat tapi taunya memperkaya diri sendiri saja tapi masih banyak rakyatmu menderita, jadi olehnya itu buktikan kinerjamu dengan kemampuanmu mensejahterakan rakyat bosssss!!!!!!!!",kepada bapak2 komisi dpr bapak itu bisa menjabat hanya karena atas nama rakyat nga ada pengorbanan2 yg terlalu setengah mati jadi saran saya rakyat itu butuh bukti pak dari kinerjamu bukan hanya pintar debat tapi taunya memperkaya diri sendiri saja tapi masih banyak rakyatmu menderita jadi olehnya itu buktikan kinerjamu dengan kemampuanmu mensejahterakan rakyat bosssss,bapak2 komisi dpr menjabat nama rakyat nga pengorbanan2 yg mati saran rakyat butuh bukti kinerjamu pintar debat taunya memperkaya rakyatmu menderita buktikan kinerjamu kemampuanmu mensejahterakan rakyat bosssss,bapak2 komisi dpr jabat nama rakyat nga pengorbanan2 yg mati saran rakyat butuh bukti kerja pintar debat tau kaya rakyat derita bukti kerja mampu sejahtera rakyat bosssss,bapak2 komisi dpr jabat nama rakyat nga pengorbanan2 mati saran rakyat butuh bukti kerja pintar debat tau kaya rakyat derita bukti kerja sejahtera rakyat bosssss
"katanya keuangan central dr seluruh central,tapi uu perampasan aset mlempem.dasar wakil partai",katanya keuangan central dr seluruh centraltapi uu perampasan aset mlempemdasar wakil partai,keuangan central dr centraltapi uu perampasan aset mlempemdasar wakil partai,uang central dr centraltapi uu ampas aset mlempemdasar wakil partai,uang central centraltapi uu ampas aset mlempemdasar wakil partai
hukum masyarskat itu kejam memang.sekali maling tetap maling.dpr joget menari nari diatas penderitaan rakyat.,hukum masyarskat itu kejam memangsekali maling tetap malingdpr joget menari nari diatas penderitaan rakyat,hukum masyarskat kejam memangsekali maling malingdpr joget menari nari diatas penderitaan rakyat,hukum masyarskat kejam memangsekali maling malingdpr joget tari nari atas derita rakyat,hukum masyarskat kejam memangsekali maling malingdpr joget tari nari derita rakyat
komosi xi dpri sudah gagal mengawasi pemerintah era menkeu sri mulyani hanya banyak cakap tidak ada hasil untuk rakyat indonesia. maju terus pak purbaya maju tak gentar membela merah putih ❤,komosi xi dpri sudah gagal mengawasi pemerintah era menkeu sri mulyani hanya banyak cakap tidak ada hasil untuk rakyat indonesia maju terus pak purbaya maju tak gentar membela merah putih,komosi xi dpri gagal mengawasi pemerintah era menkeu sri mulyani cakap hasil rakyat indonesia maju purbaya maju gentar membela merah putih,komosi xi dpri gagal awas perintah era menkeu sri mulyani cakap hasil rakyat indonesia maju purbaya maju gentar bela merah putih,komosi xi dpri gagal awas perintah era menkeu sri mulyani cakap hasil rakyat indonesia maju purbaya maju gentar bela merah putih
nek dengar dpr ngomong,nek dengar dpr ngomong,nek dengar dpr ngomong,nek dengar dpr ngomong,nek dengar dpr ngomong
yg bertanggung jawab perekonomian negara adalah bapak menteri bukan dpr jadi tidak perlu rapat dengan dpr 💪,yg bertanggung jawab perekonomian negara adalah bapak menteri bukan dpr jadi tidak perlu rapat dengan dpr,yg bertanggung perekonomian negara menteri dpr rapat dpr,yg tanggung ekonomi negara menteri dpr rapat dpr,tanggung ekonomi negara menteri dpr rapat dpr
"orang cuma hanya bisa ngomong doang, sadar tidak kurangi korupsi, kejutan nya hentikan otak korup nts",orang cuma hanya bisa ngomong doang sadar tidak kurangi korupsi kejutan nya hentikan otak korup nts,orang ngomong doang sadar kurangi korupsi kejutan nya hentikan otak korup nts,orang ngomong doang sadar kurang korupsi kejut nya henti otak korup nts,orang ngomong doang sadar korupsi kejut henti otak korup nts
klo mau bikin uu hukuman mati bg kruptor psti dpr mnolak total,klo mau bikin uu hukuman mati bg kruptor psti dpr mnolak total,klo bikin uu hukuman mati bg kruptor psti dpr mnolak total,klo bikin uu hukum mati bg kruptor psti dpr mnolak total,klo bikin uu hukum mati bg kruptor psti dpr mnolak total
pak dpr yang terhormat sadar diri nggak ?,pak dpr yang terhormat sadar diri nggak,dpr terhormat sadar nggak,dpr hormat sadar nggak,dpr hormat sadar nggak
betul skrg masih baaanyak lembaga penddkan swasta tdk punya kantor perpustakaan .kerena mimang bantuannya dari pemerintah tdk rata.ada yg dapat ada yg tdk.,betul skrg masih baaanyak lembaga penddkan swasta tdk punya kantor perpustakaan kerena mimang bantuannya dari pemerintah tdk rataada yg dapat ada yg tdk,skrg baaanyak lembaga penddkan swasta tdk kantor perpustakaan kerena mimang bantuannya pemerintah tdk rataada yg yg tdk,skrg baaanyak lembaga penddkan swasta tdk kantor pustaka rena mimang bantu perintah tdk rataada yg yg tdk,baaanyak lembaga penddkan swasta kantor pustaka rena mimang bantu perintah rataada
heppy ya !!!! yg miskin masih banyak  woy,heppy ya yg miskin masih banyak woy,heppy ya yg miskin woy,heppy ya yg miskin woy,heppy ya miskin woy
"ngomong segudang,suruh ngirit dirimu tuh ngaca..baru tiga hari suruh ngapain..botak",ngomong segudangsuruh ngirit dirimu tuh ngacabaru tiga hari suruh ngapainbotak,ngomong segudangsuruh ngirit dirimu tuh ngacabaru suruh ngapainbotak,ngomong segudangsuruh ngirit diri tuh ngacabaru suruh ngapainbotak,ngomong segudangsuruh ngirit tuh ngacabaru suruh ngapainbotak
"asli karena pak purbaya seumur hidup gua baru pertama kali gua tonton berita begini,semangat menjaga amanah pak ❤",asli karena pak purbaya seumur hidup gua baru pertama kali gua tonton berita beginisemangat menjaga amanah pak,asli purbaya seumur hidup gua kali gua tonton berita beginisemangat menjaga amanah,asli purbaya umur hidup gua kali gua tonton berita beginisemangat jaga amanah,asli purbaya umur hidup gua kali gua tonton berita beginisemangat jaga amanah
"jgn dengarkan ocehan dpr pak purbaya sudah lama dpr ngemplang pajak rakyat ,jlnkann program rakyat yg pro rakyat itu",jgn dengarkan ocehan dpr pak purbaya sudah lama dpr ngemplang pajak rakyat jlnkann program rakyat yg pro rakyat itu,jgn dengarkan ocehan dpr purbaya dpr ngemplang pajak rakyat jlnkann program rakyat yg pro rakyat,jgn dengar oceh dpr purbaya dpr ngemplang pajak rakyat jlnkann program rakyat yg pro rakyat,dengar oceh dpr purbaya dpr ngemplang pajak rakyat jlnkann program rakyat pro rakyat
dpr kacian deh😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮,dpr kacian deh,dpr kacian deh,dpr kaci deh,dpr kaci deh
maka dpr ketakutan kehilangan cuan cuan aspirasi cuan cuan ya 😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮,maka dpr ketakutan kehilangan cuan cuan aspirasi cuan cuan ya,dpr ketakutan kehilangan cuan cuan aspirasi cuan cuan ya,dpr takut hilang cuan cuan aspirasi cuan cuan ya,dpr takut hilang cuan cuan aspirasi cuan cuan ya
dpr biasa setiap rapat sudah biasa ada uang rapat dan buang pungli pungli aspira aspirasi  maka cuan cuan lagi,dpr biasa setiap rapat sudah biasa ada uang rapat dan buang pungli pungli aspira aspirasi maka cuan cuan lagi,dpr rapat uang rapat buang pungli pungli aspira aspirasi cuan cuan,dpr rapat uang rapat buang pungli pungli aspira aspirasi cuan cuan,dpr rapat uang rapat buang pungli pungli aspira aspirasi cuan cuan
dpr pasti ketakutan kehilangan cuan cuan,dpr pasti ketakutan kehilangan cuan cuan,dpr ketakutan kehilangan cuan cuan,dpr takut hilang cuan cuan,dpr takut hilang cuan cuan
"ini anggota gak ada maanfaatnya.
hrsnya sama” membangun.
bukan memojokan 🤷",ini anggota gak ada maanfaatnya hrsnya sama” membangun bukan memojokan 🤷,anggota gak maanfaatnya hrsnya sama” membangun memojokan 🤷,anggota gak maanfaatnya hrsnya sama bangun pojok,anggota gak maanfaatnya hrsnya bangun pojok
dpr jangan bisa ngomong doang.buktikan kerja mu yg bener.,dpr jangan bisa ngomong doangbuktikan kerja mu yg bener,dpr ngomong doangbuktikan kerja mu yg bener,dpr ngomong doangbuktikan kerja mu yg bener,dpr ngomong doangbuktikan kerja mu bener
"dpr dewan permusuhan rakyat,u org2 cmn pengimis suara",dpr dewan permusuhan rakyatu org2 cmn pengimis suara,dpr dewan permusuhan rakyatu org2 cmn pengimis suara,dpr dewan musuh rakyatu org2 cmn kim suara,dpr dewan musuh rakyatu org2 cmn kim suara
"selama menteri keuangan yg lama apakah mereka bertanya se detile itu, jadi heran deh mereka kayak geger dengan gebrakan sekarang",selama menteri keuangan yg lama apakah mereka bertanya se detile itu jadi heran deh mereka kayak geger dengan gebrakan sekarang,menteri keuangan yg detile heran deh kayak geger gebrakan,menteri uang yg detile heran deh kayak geger gebrak,menteri uang detile heran deh kayak geger gebrak
"kami para orang menginginkan perubahan formula mbg. 

bagaiama jika dana mbg dikasih ke orang tua siswa agar orang yang belanja sesuai kebutuhan siswa sambil memperhatikan ketentuan dari pemerintah.",kami para orang menginginkan perubahan formula mbg bagaiama jika dana mbg dikasih ke orang tua siswa agar orang yang belanja sesuai kebutuhan siswa sambil memperhatikan ketentuan dari pemerintah,orang perubahan formula mbg bagaiama dana mbg dikasih orang tua siswa orang belanja sesuai kebutuhan siswa memperhatikan ketentuan pemerintah,orang ubah formula mbg bagaiama dana mbg kasih orang tua siswa orang belanja sesuai butuh siswa perhati tentu perintah,orang ubah formula mbg bagaiama dana mbg kasih orang tua siswa orang belanja sesuai butuh siswa perhati perintah
botak,botak,botak,botak,botak
"kurang2in pak diskusi sama orang2 ini, mereka cuma menghambat saja",kurang2in pak diskusi sama orang2 ini mereka cuma menghambat saja,kurang2in diskusi orang2 menghambat,kurang2in diskusi orang2 hambat,kurang2in diskusi orang2 hambat
biar cepat lunas hutang kita ke luar negri semua pejabat menunjukkan lkph yg kekayaannya masih milyaran jgn dulu di kasih gaji terutama anggota dpr yg setiap tahun bisa mengumpulkan uang miliaran dgn banyak nya tunjangan pokoknya semua pejabat pending dulu gajinya ahlikan untuk bayar utang negara biar cepat' lunas,biar cepat lunas hutang kita ke luar negri semua pejabat menunjukkan lkph yg kekayaannya masih milyaran jgn dulu di kasih gaji terutama anggota dpr yg setiap tahun bisa mengumpulkan uang miliaran dgn banyak nya tunjangan pokoknya semua pejabat pending dulu gajinya ahlikan untuk bayar utang negara biar cepat lunas,biar cepat lunas hutang negri pejabat lkph yg kekayaannya milyaran jgn kasih gaji anggota dpr yg mengumpulkan uang miliaran dgn nya tunjangan pokoknya pejabat pending gajinya ahlikan bayar utang negara biar cepat lunas,biar cepat lunas hutang negri jabat lkph yg kaya milyaran jgn kasih gaji anggota dpr yg kumpul uang miliar dgn nya tunjang pokok jabat pending gaji ahli bayar utang negara biar cepat lunas,biar cepat lunas hutang negri jabat lkph kaya milyaran kasih gaji anggota dpr kumpul uang miliar tunjang pokok jabat pending gaji ahli bayar utang negara biar cepat lunas
the best pak menkeu ❤❤,the best pak menkeu,the best menkeu,the best menkeu,the best menkeu
pak menkeu efisiensi kan anggaran tunjangan anggota dpr masa tunjangan beras sampai 12juta ko banyak sekali gk logis,pak menkeu efisiensi kan anggaran tunjangan anggota dpr masa tunjangan beras sampai 12juta ko banyak sekali gk logis,menkeu efisiensi anggaran tunjangan anggota dpr tunjangan beras 12juta ko gk logis,menkeu efisiensi anggar tunjang anggota dpr tunjang beras 12juta ko gk logis,menkeu efisiensi anggar tunjang anggota dpr tunjang beras 12juta ko logis
"jgn terllu bnyk nongkrong d dpr pak mentri,,mreka mafia semua,mreka sllu mencari celah dri setiap kebijakn,agar mendapatkn cuan,",jgn terllu bnyk nongkrong d dpr pak mentrimreka mafia semuamreka sllu mencari celah dri setiap kebijaknagar mendapatkn cuan,jgn terllu bnyk nongkrong d dpr mentrimreka mafia semuamreka sllu mencari celah dri kebijaknagar mendapatkn cuan,jgn terllu bnyk nongkrong d dpr mentrimreka mafia semuamreka sllu cari celah dri kebijaknagar mendapatkn cuan,terllu bnyk nongkrong d dpr mentrimreka mafia semuamreka sllu cari celah dri kebijaknagar mendapatkn cuan
ketar ketir ni para mail🎉🎉🎉🎉🎉,ketar ketir ni para mail,ketar ketir ni mail,ketar tir ni mail,ketar tir ni mail
purbaya joss,purbaya joss,purbaya joss,purbaya joss,purbaya joss
"acara seremonial yang ndak penting dan makan2 berlebihan hendaknya di tiadakan,, saatnya bertugas sepenuhnya untuk melayani rakyak!  yang sok gaya2yan mending mundur!",acara seremonial yang ndak penting dan makan2 berlebihan hendaknya di tiadakan saatnya bertugas sepenuhnya untuk melayani rakyak yang sok gaya2yan mending mundur,acara seremonial ndak makan2 tiadakan bertugas sepenuhnya melayani rakyak sok gaya2yan mending mundur,acara seremonial ndak makan2 tiada tugas sepenuh layan rakyak sok gaya2yan mending mundur,acara seremonial ndak makan2 tiada tugas sepenuh layan rakyak gaya2yan mending mundur
dpr juga di efesiensi dong,dpr juga di efesiensi dong,dpr efesiensi,dpr efesiensi,dpr efesiensi
"dalam rapat menteri keuangan yang baru beberapa hari menjabat, dengan anggota dpr komisi 11, mungkin mungkin dan mungkin dapat diketahui, siapa yang paham dengan ekonomi, siapa yang hampa dengan ekonomi, bingung",dalam rapat menteri keuangan yang baru beberapa hari menjabat dengan anggota dpr komisi 11 mungkin mungkin dan mungkin dapat diketahui siapa yang paham dengan ekonomi siapa yang hampa dengan ekonomi bingung,rapat menteri keuangan menjabat anggota dpr komisi 11 paham ekonomi hampa ekonomi bingung,rapat menteri uang jabat anggota dpr komisi 11 paham ekonomi hampa ekonomi bingung,rapat menteri uang jabat anggota dpr komisi 11 paham ekonomi hampa ekonomi bingung
"dpr pinternya hanya bertanya coba suruh kerja zonkkkk,,,makanya jd pejabat itu yg benar2 cerdas ijasah gk usah beli ,lulusan sma kuliyah lg agar tdk bodoh",dpr pinternya hanya bertanya coba suruh kerja zonkkkkmakanya jd pejabat itu yg benar2 cerdas ijasah gk usah beli lulusan sma kuliyah lg agar tdk bodoh,dpr pinternya coba suruh kerja zonkkkkmakanya jd pejabat yg benar2 cerdas ijasah gk beli lulusan sma kuliyah lg tdk bodoh,dpr pinternya coba suruh kerja zonkkkkmakanya jd jabat yg benar2 cerdas ijasah gk beli lulus sma kuliyah lg tdk bodoh,dpr pinternya coba suruh kerja zonkkkkmakanya jd jabat benar2 cerdas ijasah beli lulus sma kuliyah lg bodoh
"tak usah rapat2 terus
menghabiskan uang negara saja,ahir2 nya nanti ya korupsi.bosan dengar rapat ahkirnya ya korupsi dan minta jatah. saya tidak percaya pada pejabat dan dpr.semuanya sama saja isinya ya maling",tak usah rapat2 terus menghabiskan uang negara sajaahir2 nya nanti ya korupsibosan dengar rapat ahkirnya ya korupsi dan minta jatah saya tidak percaya pada pejabat dan dprsemuanya sama saja isinya ya maling,rapat2 menghabiskan uang negara sajaahir2 nya ya korupsibosan dengar rapat ahkirnya ya korupsi jatah percaya pejabat dprsemuanya isinya ya maling,rapat2 habis uang negara sajaahir2 nya ya korupsibosan dengar rapat ahkirnya ya korupsi jatah percaya jabat dprsemuanya isi ya maling,rapat2 habis uang negara sajaahir2 ya korupsibosan dengar rapat ahkirnya ya korupsi jatah percaya jabat dprsemuanya isi ya maling
"aset negara akan bertambah jika uu perampasan aset disyahkan,agar pejabat takut korupsi dan tidak bangga dg titel koruptor",aset negara akan bertambah jika uu perampasan aset disyahkanagar pejabat takut korupsi dan tidak bangga dg titel koruptor,aset negara bertambah uu perampasan aset disyahkanagar pejabat takut korupsi bangga dg titel koruptor,aset negara tambah uu ampas aset disyahkanagar jabat takut korupsi bangga dg titel koruptor,aset negara uu ampas aset disyahkanagar jabat takut korupsi bangga titel koruptor
"bpk menkeu baru kerja 2 hari,tapi sudah begitu optimis dg pertumbuhan ekonomi.insyaallah dg semangat,keyakinan n amanah serta suport rakyat ind.bisa tercapai.efisiensi anggaran bukan hanya di kementerian tapi di dpr juga,biar tidak berlomba korupsi n pamer kemewahan",bpk menkeu baru kerja 2 haritapi sudah begitu optimis dg pertumbuhan ekonomiinsyaallah dg semangatkeyakinan n amanah serta suport rakyat indbisa tercapaiefisiensi anggaran bukan hanya di kementerian tapi di dpr jugabiar tidak berlomba korupsi n pamer kemewahan,bpk menkeu kerja 2 haritapi optimis dg pertumbuhan ekonomiinsyaallah dg semangatkeyakinan n amanah suport rakyat indbisa tercapaiefisiensi anggaran kementerian dpr jugabiar berlomba korupsi n pamer kemewahan,bpk menkeu kerja 2 haritapi optimis dg tumbuh ekonomiinsyaallah dg semangatkeyakinan n amanah suport rakyat indbisa tercapaiefisiensi anggar menteri dpr jugabiar lomba korupsi n pamer mewah,bpk menkeu kerja 2 haritapi optimis tumbuh ekonomiinsyaallah semangatkeyakinan n amanah suport rakyat indbisa tercapaiefisiensi anggar menteri dpr jugabiar lomba korupsi n pamer mewah
