komentar,komentar_bersih,setelah_preprocesing
biar cepat lunas hutang kita ke luar negri semua pejabat menunjukkan lkph yg kekayaannya masih milyaran jgn dulu di kasih gaji terutama anggota dpr yg setiap tahun bisa mengumpulkan uang miliaran dgn banyak nya tunjangan pokoknya semua pejabat pending dulu gajinya ahlikan untuk bayar utang negara biar cepat' lunas,biar cepat lunas hutang kita ke luar negri semua pejabat menunjukkan lkph yg kekayaannya masih milyaran jgn dulu di kasih gaji terutama anggota dpr yg setiap tahun bisa mengumpulkan uang miliaran dgn banyak nya tunjangan pokoknya semua pejabat pending dulu gajinya ahlikan untuk bayar utang negara biar cepat lunas,biar cepat lunas hutang negri pejabat lkph yg kekayaannya milyaran jgn kasih gaji anggota dpr yg mengumpulkan uang miliaran dgn nya tunjangan pokoknya pejabat pending gajinya ahlikan bayar utang negara biar cepat lunas
the best pak menkeu ❤❤,the best pak menkeu,the best menkeu
pak menkeu efisiensi kan anggaran tunjangan anggota dpr masa tunjangan beras sampai 12juta ko banyak sekali gk logis,pak menkeu efisiensi kan anggaran tunjangan anggota dpr masa tunjangan beras sampai 12juta ko banyak sekali gk logis,menkeu efisiensi anggaran tunjangan anggota dpr tunjangan beras 12juta ko gk logis
"jgn terllu bnyk nongkrong d dpr pak mentri,,mreka mafia semua,mreka sllu mencari celah dri setiap kebijakn,agar mendapatkn cuan,",jgn terllu bnyk nongkrong d dpr pak mentrimreka mafia semuamreka sllu mencari celah dri setiap kebijaknagar mendapatkn cuan,jgn terllu bnyk nongkrong d dpr mentrimreka mafia semuamreka sllu mencari celah dri kebijaknagar mendapatkn cuan
ketar ketir ni para mail🎉🎉🎉🎉🎉,ketar ketir ni para mail,ketar ketir ni mail
purbaya joss,purbaya joss,purbaya joss
"acara seremonial yang ndak penting dan makan2 berlebihan hendaknya di tiadakan,, saatnya bertugas sepenuhnya untuk melayani rakyak!  yang sok gaya2yan mending mundur!",acara seremonial yang ndak penting dan makan2 berlebihan hendaknya di tiadakan saatnya bertugas sepenuhnya untuk melayani rakyak yang sok gaya2yan mending mundur,acara seremonial ndak makan2 tiadakan bertugas sepenuhnya melayani rakyak sok gaya2yan mending mundur
dpr juga di efesiensi dong,dpr juga di efesiensi dong,dpr efesiensi
"dalam rapat menteri keuangan yang baru beberapa hari menjabat, dengan anggota dpr komisi 11, mungkin mungkin dan mungkin dapat diketahui, siapa yang paham dengan ekonomi, siapa yang hampa dengan ekonomi, bingung",dalam rapat menteri keuangan yang baru beberapa hari menjabat dengan anggota dpr komisi 11 mungkin mungkin dan mungkin dapat diketahui siapa yang paham dengan ekonomi siapa yang hampa dengan ekonomi bingung,rapat menteri keuangan menjabat anggota dpr komisi 11 paham ekonomi hampa ekonomi bingung
"dpr pinternya hanya bertanya coba suruh kerja zonkkkk,,,makanya jd pejabat itu yg benar2 cerdas ijasah gk usah beli ,lulusan sma kuliyah lg agar tdk bodoh",dpr pinternya hanya bertanya coba suruh kerja zonkkkkmakanya jd pejabat itu yg benar2 cerdas ijasah gk usah beli lulusan sma kuliyah lg agar tdk bodoh,dpr pinternya coba suruh kerja zonkkkkmakanya jd pejabat yg benar2 cerdas ijasah gk beli lulusan sma kuliyah lg tdk bodoh
"tak usah rapat2 terus
menghabiskan uang negara saja,ahir2 nya nanti ya korupsi.bosan dengar rapat ahkirnya ya korupsi dan minta jatah. saya tidak percaya pada pejabat dan dpr.semuanya sama saja isinya ya maling",tak usah rapat2 terus menghabiskan uang negara sajaahir2 nya nanti ya korupsibosan dengar rapat ahkirnya ya korupsi dan minta jatah saya tidak percaya pada pejabat dan dprsemuanya sama saja isinya ya maling,rapat2 menghabiskan uang negara sajaahir2 nya ya korupsibosan dengar rapat ahkirnya ya korupsi jatah percaya pejabat dprsemuanya isinya ya maling
"aset negara akan bertambah jika uu perampasan aset disyahkan,agar pejabat takut korupsi dan tidak bangga dg titel koruptor",aset negara akan bertambah jika uu perampasan aset disyahkanagar pejabat takut korupsi dan tidak bangga dg titel koruptor,aset negara bertambah uu perampasan aset disyahkanagar pejabat takut korupsi bangga dg titel koruptor
"bpk menkeu baru kerja 2 hari,tapi sudah begitu optimis dg pertumbuhan ekonomi.insyaallah dg semangat,keyakinan n amanah serta suport rakyat ind.bisa tercapai.efisiensi anggaran bukan hanya di kementerian tapi di dpr juga,biar tidak berlomba korupsi n pamer kemewahan",bpk menkeu baru kerja 2 haritapi sudah begitu optimis dg pertumbuhan ekonomiinsyaallah dg semangatkeyakinan n amanah serta suport rakyat indbisa tercapaiefisiensi anggaran bukan hanya di kementerian tapi di dpr jugabiar tidak berlomba korupsi n pamer kemewahan,bpk menkeu kerja 2 haritapi optimis dg pertumbuhan ekonomiinsyaallah dg semangatkeyakinan n amanah suport rakyat indbisa tercapaiefisiensi anggaran kementerian dpr jugabiar berlomba korupsi n pamer kemewahan
"bukannya mensuport menteri keuangan malah jegal ni gimana, kasih jalan solusi jangan cuma ngomong saja, gaji gede",bukannya mensuport menteri keuangan malah jegal ni gimana kasih jalan solusi jangan cuma ngomong saja gaji gede,mensuport menteri keuangan jegal ni gimana kasih jalan solusi ngomong gaji gede
"di peringkat pertanyaannya, agar tidak memakan waktu terlalu lama 🙏",di peringkat pertanyaannya agar tidak memakan waktu terlalu lama,peringkat pertanyaannya memakan
"soal anggota dewan yg menjelaskan soal pendidikan, dana yg masih minim. lo pikirin jg dong kalau gaji2 dan tunjangan2 lo yg gede itu dipangkas habis. jd bs dipakai buat disalurkan ke program2 pro rakyat",soal anggota dewan yg menjelaskan soal pendidikan dana yg masih minim lo pikirin jg dong kalau gaji2 dan tunjangan2 lo yg gede itu dipangkas habis jd bs dipakai buat disalurkan ke program2 pro rakyat,anggota dewan yg pendidikan dana yg minim lo pikirin jg gaji2 tunjangan2 lo yg gede dipangkas habis jd bs dipakai disalurkan program2 pro rakyat
baru lihat bu dirjen sekarang atau selama ini sering bolos dlm rapat kerja ?,baru lihat bu dirjen sekarang atau selama ini sering bolos dlm rapat kerja,lihat bu dirjen bolos dlm rapat kerja
koropsinya,koropsinya,koropsinya
"kalau mau mikirkan  ke miskinan rakyat kyk mana, terutama dpr tu yg  byk merampok uang rakyat",kalau mau mikirkan ke miskinan rakyat kyk mana terutama dpr tu yg byk merampok uang rakyat,mikirkan miskinan rakyat kyk dpr tu yg byk merampok uang rakyat
jijik liat dpr,jijik liat dpr,jijik liat dpr
pak menkeu the best,pak menkeu the best,menkeu the best
memang meragukan kemampuan dpr kita utk menyelesaikan yg ada di negara ini.,memang meragukan kemampuan dpr kita utk menyelesaikan yg ada di negara ini,meragukan kemampuan dpr utk menyelesaikan yg negara
"dpr ngomong panjang lebar, ga ada isi, minta-minta project ujung-ujungnya juga dikorup.",dpr ngomong panjang lebar ga ada isi mintaminta project ujungujungnya juga dikorup,dpr ngomong lebar ga isi mintaminta project ujungujungnya dikorup
setorannya gak ada malah bikin gaduh😢,setorannya gak ada malah bikin gaduh,setorannya gak bikin gaduh
menkeu lebih tau apa yang harus dikerjakan semoga bpk purbaya maju terus untuk indonesia.,menkeu lebih tau apa yang harus dikerjakan semoga bpk purbaya maju terus untuk indonesia,menkeu tau semoga bpk purbaya maju indonesia
jijik lihat dpr ini,jijik lihat dpr ini,jijik lihat dpr
semogs pak purbaya selalu daĺam lindungan allah.swt sehat selalu amanah dalam menjjalankan tugasnya.  aamiin,semogs pak purbaya selalu daĺam lindungan allahswt sehat selalu amanah dalam menjjalankan tugasnya aamiin,semogs purbaya daĺam lindungan allahswt sehat amanah menjjalankan tugasnya aamiin
pak.menteri top👍,pakmenteri top,pakmenteri top
"mohon implementasi subsidi anggaran  apbd untuk semua daerah,/wilayah dari pemerintah pusat tidak dipotong tetapi digeser ke sektor pertanian 25 % dalam meningkatkan hasil pertanian pada lahan petani / tanah yang tidak produktif  melalui penanaman pohon pisang ( ambon dan sejenisnya )",mohon implementasi subsidi anggaran apbd untuk semua daerahwilayah dari pemerintah pusat tidak dipotong tetapi digeser ke sektor pertanian 25 dalam meningkatkan hasil pertanian pada lahan petani tanah yang tidak produktif melalui penanaman pohon pisang ambon dan sejenisnya,mohon implementasi subsidi anggaran apbd daerahwilayah pemerintah pusat dipotong digeser sektor pertanian 25 meningkatkan hasil pertanian lahan petani tanah produktif penanaman pohon pisang ambon sejenisnya
memalukan negara ucapan komisi dri golkar  masak kekurangan pisang  merunsingkan  kita mempunyai keluasan petani yg siaf usaha dg  baik,memalukan negara ucapan komisi dri golkar masak kekurangan pisang merunsingkan kita mempunyai keluasan petani yg siaf usaha dg baik,memalukan negara ucapan komisi dri golkar masak kekurangan pisang merunsingkan keluasan petani yg siaf usaha dg
dpr minimal s3 menguasai 3 bahasa asing🎉,dpr minimal s3 menguasai 3 bahasa asing,dpr minimal s3 menguasai 3 bahasa asing
20% apbn pndidikan tdk smuanya dblnjakan karena masuk kantong wkwk,20 apbn pndidikan tdk smuanya dblnjakan karena masuk kantong wkwk,20 apbn pndidikan tdk smuanya dblnjakan masuk kantong wkwk
pak primus.,pak primus,primus
"lha gimana wong dpr tuntutannya selangit, ktnya wakil rakyat, rakyat mana? nyatanya rakyat bnyk yg menjerit, rakyat konoha x ya",lha gimana wong dpr tuntutannya selangit ktnya wakil rakyat rakyat mana nyatanya rakyat bnyk yg menjerit rakyat konoha x ya,lha gimana dpr tuntutannya selangit ktnya wakil rakyat rakyat rakyat bnyk yg menjerit rakyat konoha x ya
sombong lo botak,sombong lo botak,sombong lo botak
ente udah kebanyakan maka udng haram,ente udah kebanyakan maka udng haram,ente udah kebanyakan udng haram
angg dor asal njeplak ngomong seenakmubdewe menteri aja baru dua hari udah bilng ndak punya kemampuan,angg dor asal njeplak ngomong seenakmubdewe menteri aja baru dua hari udah bilng ndak punya kemampuan,angg dor njeplak ngomong seenakmubdewe menteri aja udah bilng ndak kemampuan
dpr lah yang haruse benahi,dpr lah yang haruse benahi,dpr haruse benahi
dpr apa sih,dpr apa sih,dpr sih
"utang negara banyak,karna banyak oknum pejabat yg korup,dpr sah kan dulu ruu perampasan aset para kuruptor,bayar utang 1000triliun,mengapa gak bisa,3000trilliun bisa dikurupsi kok ,dpr sebenarnya harus optimis,bisa bayar utang,",utang negara banyakkarna banyak oknum pejabat yg korupdpr sah kan dulu ruu perampasan aset para kuruptorbayar utang 1000triliunmengapa gak bisa3000trilliun bisa dikurupsi kok dpr sebenarnya harus optimisbisa bayar utang,utang negara banyakkarna oknum pejabat yg korupdpr sah ruu perampasan aset kuruptorbayar utang 1000triliunmengapa gak bisa3000trilliun dikurupsi dpr optimisbisa bayar utang
sdh lah jangan di pake lagi dpr tiada guna. hobi nya hanya rapat rapat dan rapat.😂😂,sdh lah jangan di pake lagi dpr tiada guna hobi nya hanya rapat rapat dan rapat,sdh pake dpr tiada hobi nya rapat rapat rapat
bapak ini cerdas cara berpikirnya seperti mas gibran lanjut pak awasin terus menterinya agar rakyat sejahtera,bapak ini cerdas cara berpikirnya seperti mas gibran lanjut pak awasin terus menterinya agar rakyat sejahtera,cerdas berpikirnya mas gibran awasin menterinya rakyat sejahtera
"trkesan anggota dewan ini meremehkan pk.purbaya sbgai menkeu yg baru
sdh terbiasa antara mantan mentri menkeu dgn anggota dpr kong x
kong, bukan terkesan kawatir sdh tdk ada ruang untk kohrup51",trkesan anggota dewan ini meremehkan pkpurbaya sbgai menkeu yg baru sdh terbiasa antara mantan mentri menkeu dgn anggota dpr kong x kong bukan terkesan kawatir sdh tdk ada ruang untk kohrup51,trkesan anggota dewan meremehkan pkpurbaya sbgai menkeu yg sdh terbiasa mantan mentri menkeu dgn anggota dpr kong x kong terkesan kawatir sdh tdk ruang untk kohrup51
"mereka para anggota dpr meminta memangkas atau efisiensi anggaran belanja  dari kemenentrian keuangan, tapi mereka sendiri para anggota dpr yg melakukan pemborosan anggaran negara buat gaya hidup mewah mereka.",mereka para anggota dpr meminta memangkas atau efisiensi anggaran belanja dari kemenentrian keuangan tapi mereka sendiri para anggota dpr yg melakukan pemborosan anggaran negara buat gaya hidup mewah mereka,anggota dpr memangkas efisiensi anggaran belanja kemenentrian keuangan anggota dpr yg pemborosan anggaran negara gaya hidup mewah
"la anda sbg dpr,cuma rapat²,habis anggaran",la anda sbg dprcuma rapat²habis anggaran,la sbg dprcuma rapat²habis anggaran
sahkan dulu uu perampasan aset.,sahkan dulu uu perampasan aset,sahkan uu perampasan aset
"54:41 program pak prabowo harus di kelola dengan maximal tanpa harus menggangu yang lain,,giliran gaji dan tunjangan mereka naik..apakah mereka peduli dengan hal2 yang lain",5441 program pak prabowo harus di kelola dengan maximal tanpa harus menggangu yang laingiliran gaji dan tunjangan mereka naikapakah mereka peduli dengan hal2 yang lain,5441 program prabowo kelola maximal menggangu laingiliran gaji tunjangan naikapakah peduli hal2
"kami sudah hilang percaya kepada dpr.
manusia lupa diri,rakus.
sok omong ekonomi rendah,omong hutang negara yang banyak,padahal kamulah yang paling bangak kasih habis uang negara.

bicara besar tapi lupa diri,manusia buta hurup.

dong tanya apa yang harus di rubah supaya ekonomi bertumbuh,yaa pangkas gaji dpr,pangkas semua tunjangan²,kasih gaji sesuai kinerja saja,tidak tau diri tapi minta gaji besar. rapat omong dong punya bodok",kami sudah hilang percaya kepada dpr manusia lupa dirirakus sok omong ekonomi rendahomong hutang negara yang banyakpadahal kamulah yang paling bangak kasih habis uang negara bicara besar tapi lupa dirimanusia buta hurup dong tanya apa yang harus di rubah supaya ekonomi bertumbuhyaa pangkas gaji dprpangkas semua tunjangan²kasih gaji sesuai kinerja sajatidak tau diri tapi minta gaji besar rapat omong dong punya bodok,hilang percaya dpr manusia lupa dirirakus sok omong ekonomi rendahomong hutang negara banyakpadahal bangak kasih habis uang negara bicara lupa dirimanusia buta hurup rubah ekonomi bertumbuhyaa pangkas gaji dprpangkas tunjangan²kasih gaji sesuai kinerja sajatidak tau gaji rapat omong bodok
apa kepentingan fraksi partai di sini klo ikut rapat,apa kepentingan fraksi partai di sini klo ikut rapat,kepentingan fraksi partai klo rapat
setelah liat komen ternyata memang sudah tidak ada lagi kepercayaan terhadap dpr,setelah liat komen ternyata memang sudah tidak ada lagi kepercayaan terhadap dpr,liat komen kepercayaan dpr
"p, porbaya hati",p porbaya hati,p porbaya hati
ini niatnya apa sih dpr,ini niatnya apa sih dpr,niatnya sih dpr
"untuk selanjutnya anggota dpr harus berpendidikan min s1 supaya selaras pemikirannya dg perkembangan zaman dan berpikir yg terbarukan dan agar kemajuan secepatnya pola berpikir harus dibalik dg cara dpr harus menyesuaikan polpik mentri dan sdh tdk laku lagi mentri nurut dpr krn anggota dpr tdk  pernah di upgrade dan maaf pak dpr bpk tdk perlu ngotot""percuma krn menkeu masih 2 hari😂",untuk selanjutnya anggota dpr harus berpendidikan min s1 supaya selaras pemikirannya dg perkembangan zaman dan berpikir yg terbarukan dan agar kemajuan secepatnya pola berpikir harus dibalik dg cara dpr harus menyesuaikan polpik mentri dan sdh tdk laku lagi mentri nurut dpr krn anggota dpr tdk pernah di upgrade dan maaf pak dpr bpk tdk perlu ngototpercuma krn menkeu masih 2 hari,anggota dpr berpendidikan min s1 selaras pemikirannya dg perkembangan zaman berpikir yg terbarukan kemajuan secepatnya pola berpikir dibalik dg dpr menyesuaikan polpik mentri sdh tdk laku mentri nurut dpr krn anggota dpr tdk upgrade maaf dpr bpk tdk ngototpercuma krn menkeu 2
😊,,
"dpr tdk berkaca seperti mereka yg jd pahlawan,padahal biang dalangnya paling banyak di dpr  dan tampak kalau mau cuci tangan alias lempar batu sembunyi tangan",dpr tdk berkaca seperti mereka yg jd pahlawanpadahal biang dalangnya paling banyak di dpr dan tampak kalau mau cuci tangan alias lempar batu sembunyi tangan,dpr tdk berkaca yg jd pahlawanpadahal biang dalangnya dpr cuci tangan alias lempar batu sembunyi tangan
"kayakny dpr takut banyak masuk bui,dan mau jatuhkan menkeu,wkwkwk",kayakny dpr takut banyak masuk buidan mau jatuhkan menkeuwkwkwk,kayakny dpr takut masuk buidan jatuhkan menkeuwkwkwk
ngomong apaan sih itu di menit awal 😂,ngomong apaan sih itu di menit awal,ngomong sih menit
itu yang ibu2 pikirannya belanja mulu,itu yang ibu2 pikirannya belanja mulu,ibu2 pikirannya belanja mulu
hasil google untuk ⚡ 𝕊ℚ𝕌𝔸𝔻777 ⚡ 😅 bikin kaget 😱,hasil google untuk ℚ777 bikin kaget,hasil google ℚ777 bikin kaget
"koq mereka ini pintar ngomong ya, tp tetap gbs bikin uu perampasan aset.",koq mereka ini pintar ngomong ya tp tetap gbs bikin uu perampasan aset,koq pintar ngomong ya tp gbs bikin uu perampasan aset
pak mekeng ini hanya pintar ngomong aja,pak mekeng ini hanya pintar ngomong aja,mekeng pintar ngomong aja
dpr kalo mslh uang cepat2,dpr kalo mslh uang cepat2,dpr kalo mslh uang cepat2
kepala daerah jg mesti penting   peduli rakyat yg sengsara di desa2 jgn enak sndri,kepala daerah jg mesti penting peduli rakyat yg sengsara di desa2 jgn enak sndri,kepala daerah jg mesti peduli rakyat yg sengsara desa2 jgn enak sndri
